Nombre,Latitud,Longitud,Municipio,Departamento,Provincia
LA ESCONDIDA,"-27,107324847","-59,44753251",LA ESCONDIDA,GENERAL DONOVAN,CHACO
KILOMETRO 548,"-27,09668174","-59,421151046",LA ESCONDIDA,GENERAL DONOVAN,CHACO
COLONIA EL CACIQUE LLORON,"-27,048592084","-59,437435934",LA ESCONDIDA,GENERAL DONOVAN,CHACO
LEGUA 41,"-27,08111444","-59,385775809",LA ESCONDIDA,GENERAL DONOVAN,CHACO
LAS CHACRAS,"-30,285767867","-64,378978077",QUILINO,ISCHILIN,CÓRDOBA
LOS CADILLOS,"-30,101866886","-64,451999841",QUILINO,ISCHILIN,CÓRDOBA
VILLA QUILINO,"-30,210115748","-64,477567416",QUILINO,ISCHILIN,CÓRDOBA
QUILINO,"-30,215955221","-64,502977704",QUILINO,ISCHILIN,CÓRDOBA
CARRENLEUFU,"-43,585688544","-71,700902024",CARRENLEUFU,LANGUIÑEO,CHUBUT
LAGO BLANCO,"-45,946859419","-71,264110664",LAGO BLANCO,RIO SENGUER,CHUBUT
VILLA SANTOS TESEI,"-34,612394445","-58,653810369",HURLINGHAM,HURLINGHAM,BUENOS AIRES
HURLINGHAM,"-34,593093136","-58,635720951",HURLINGHAM,HURLINGHAM,BUENOS AIRES
WILLIAM C. MORRIS,"-34,581562283","-58,658300537",HURLINGHAM,HURLINGHAM,BUENOS AIRES
ORATORIO MORANTE,"-33,433502197","-60,402519226",GODOY,CONSTITUCION,SANTA FE
GODOY,"-33,369709873","-60,509413022",GODOY,CONSTITUCION,SANTA FE
CAMPO LA VICTORIA,"-33,406167903","-60,477660698",GODOY,CONSTITUCION,SANTA FE
VILLA MERCEDES,"-33,677369777","-65,473143366",VILLA MERCEDES,GENERAL PEDERNERA,SAN LUIS
LA RIVERA,"-33,694173663","-65,503894189",VILLA MERCEDES,GENERAL PEDERNERA,SAN LUIS
DIQUE VULPIANI,"-33,661546991","-65,535726893",VILLA MERCEDES,GENERAL PEDERNERA,SAN LUIS
LA RIBERA,"-33,691812234","-65,50073106",VILLA MERCEDES,GENERAL PEDERNERA,SAN LUIS
SAN FRANCISCO DE ALFARCITO,"-23,275302523","-65,946380462",ABDON CASTRO TOLAY,COCHINOCA,JUJUY
SANTA ANA DE LA PUNA,"-23,1466006","-66,032103332",ABDON CASTRO TOLAY,COCHINOCA,JUJUY
TUSAQUILLAS,"-23,170945539","-65,973242795",ABDON CASTRO TOLAY,COCHINOCA,JUJUY
SANTA ANA,"-23,147424698","-66,031219482",ABDON CASTRO TOLAY,COCHINOCA,JUJUY
TRANCAS,"-23,048007965","-66,13256073",ABDON CASTRO TOLAY,COCHINOCA,JUJUY
RINCONADILLAS,"-23,288664351","-65,941233536",ABDON CASTRO TOLAY,COCHINOCA,JUJUY
SALADO,"-23,048610687","-66,092857361",ABDON CASTRO TOLAY,COCHINOCA,JUJUY
ABDON CASTRO TOLAY,"-23,338641103","-66,090143228",ABDON CASTRO TOLAY,COCHINOCA,JUJUY
SANTUARIO DE TRES POZOS,"-23,515506956","-65,947612869",ABDON CASTRO TOLAY,COCHINOCA,JUJUY
TOLARITO,"-23,29167366","-66,081336975",ABDON CASTRO TOLAY,COCHINOCA,JUJUY
28 DE JULIO,"-43,38097713","-65,838687743",28 DE JULIO,GAIMAN,CHUBUT
NAUPA HUEN,"-39,828284593","-69,508972688",NAUPA HUEN,EL CUY,RÍO NEGRO
CHILCA JULIANA,"-28,807483356","-63,486777342",CHILCA JULIANA,SALAVINA,SANTIAGO DEL ESTERO
EL MANZANO,"-36,107008","-69,761199",MALARGUE,MALARGUE,MENDOZA
LAS CHACRAS,"-36,188674927","-69,664405823",MALARGUE,MALARGUE,MENDOZA
MALARGUE,"-35,477010712","-69,588649187",MALARGUE,MALARGUE,MENDOZA
LA JUNTA,"-35,267583702","-69,500300167",MALARGUE,MALARGUE,MENDOZA
LUANCO,"-37,185493469","-68,392372131",MALARGUE,MALARGUE,MENDOZA
LAS LEÑAS,"-35,153965078","-70,081791099",MALARGUE,MALARGUE,MENDOZA
EL CHACAY,"-35,357404049","-69,582385228",MALARGUE,MALARGUE,MENDOZA
AGUA ESCONDIDA,"-36,153239036","-68,304842854",MALARGUE,MALARGUE,MENDOZA
MINACAR,"-35,869655609","-70,069244385",MALARGUE,MALARGUE,MENDOZA
EL INFIERNILLO,"-36,757041931","-69,184188843",MALARGUE,MALARGUE,MENDOZA
LOS CARRIZALES,"-36,700206757","-68,372016907",MALARGUE,MALARGUE,MENDOZA
EL VATRO,"-36,702293396","-69,942199707",MALARGUE,MALARGUE,MENDOZA
RINCON CHICO,"-37,137336731","-69,583343506",MALARGUE,MALARGUE,MENDOZA
LA SALINILLA,"-36,280342102","-68,570884705",MALARGUE,MALARGUE,MENDOZA
EL ALAMBRADO,"-36,26989321","-69,85749485",MALARGUE,MALARGUE,MENDOZA
CALMUCO,"-36,479148865","-69,826599121",MALARGUE,MALARGUE,MENDOZA
LLANO BLANCO,"-35,916114807","-69,768753052",MALARGUE,MALARGUE,MENDOZA
PATA MORA,"-37,201000214","-69,107246399",MALARGUE,MALARGUE,MENDOZA
RIO GRANDE,"-35,870882529","-69,806678072",MALARGUE,MALARGUE,MENDOZA
LOS CORRALES,"-36,149475098","-68,346611023",MALARGUE,MALARGUE,MENDOZA
EL CARAPACHO,"-35,813093855","-69,190692234",MALARGUE,MALARGUE,MENDOZA
LA VALENCIANA,"-35,546673212","-69,901221615",MALARGUE,MALARGUE,MENDOZA
LOS MOLLES,"-35,1541609","-69,95182839",MALARGUE,MALARGUE,MENDOZA
MOGOTES ASPEROS,"-31,18595404","-65,247435865",ESTANCIA DE GUADALUPE,MINAS,CÓRDOBA
OJO DE AGUA,"-31,191163672","-65,363438827",ESTANCIA DE GUADALUPE,MINAS,CÓRDOBA
ESTANCIA DE GUADALUPE,"-31,124210161","-65,226900206",ESTANCIA DE GUADALUPE,MINAS,CÓRDOBA
SAN FELIPE,"-31,215607141","-65,355274494",ESTANCIA DE GUADALUPE,MINAS,CÓRDOBA
TRES LOMAS,"-31,147468567","-65,182685852",ESTANCIA DE GUADALUPE,MINAS,CÓRDOBA
LA ARGENTINA,"-31,222911549","-65,302735852",ESTANCIA DE GUADALUPE,MINAS,CÓRDOBA
CORREA,"-32,84946108","-61,254556908",CORREA,IRIONDO,SANTA FE
BERRETTA,"-32,929034308","-61,265623766",CORREA,IRIONDO,SANTA FE
ESTACION BERRETA,"-32,9365041","-61,2560121",CORREA,IRIONDO,SANTA FE
EL CHALTEN,"-49,331973118","-72,891626709",EL CHALTEN,LAGO ARGENTINO,SANTA CRUZ
EL ARBOLITO,"-33,914783802","-60,943808185",COLON,COLON,BUENOS AIRES
LOS BARRILES,"-33,9462889","-61,2276668",COLON,COLON,BUENOS AIRES
COLONIA LA PERLA,"-33,970424262","-61,076205346",COLON,COLON,BUENOS AIRES
SARASA,"-34,052335309","-61,201904091",COLON,COLON,BUENOS AIRES
PEARSON,"-33,651896303","-60,892223988",COLON,COLON,BUENOS AIRES
COLON,"-33,897863361","-61,099560506",COLON,COLON,BUENOS AIRES
KILOMETRO 404,"-37,6438","-59,8529",BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
VILLA CACIQUE,"-37,670477889","-59,400353339",BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
EL SAUCE,"-37,660797119","-59,566123966",BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
BARKER,"-37,64241113","-59,388938031",BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
BENITO JUAREZ,"-37,676641021","-59,805767711",BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
CORONEL RODOLFO BUNGE,"-37,5763984","-60,1392005",BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
LOPEZ,"-37,554512085","-59,627846154",BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
SAN ANTONIO,"-37,747276306","-59,816402438",BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
EL LUCHADOR,"-37,3214623","-60,292086",BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
LA TINTA,"-37,608386994","-59,514564518",BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
TEDIN URIBURU,"-37,368368625","-59,76303916",BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
LOS CONQUISTADORES,"-30,594407458","-58,468262706",LOS CONQUISTADORES,FEDERACION,ENTRE RÍOS
GANCEDO,"-27,48964879","-61,673877171",GANCEDO,12 DE OCTUBRE,CHACO
LA BOLSA,"-27,38206532","-61,62596109",GANCEDO,12 DE OCTUBRE,CHACO
LABORDE,"-33,152989183","-62,856073778",LABORDE,UNION,CÓRDOBA
GENERAL GALARZA,"-32,721271306","-59,395888703",GENERAL GALARZA,GUALEGUAY,ENTRE RÍOS
MOJOTORO,"-24,709346771","-65,288383484",LA CALDERA,LA CALDERA,SALTA
ISLAS DE VAQUEROS,"-24,603539","-65,380166",LA CALDERA,LA CALDERA,SALTA
SANTA GERTRUDIS,"-24,6632061","-65,310188294",LA CALDERA,LA CALDERA,SALTA
LA CALDERILLA,"-24,64152455","-65,38083679",LA CALDERA,LA CALDERA,SALTA
LOS SAUCES,"-24,471033096","-65,376625061",LA CALDERA,LA CALDERA,SALTA
LOS PORONGOS,"-24,53203392","-65,293510437",LA CALDERA,LA CALDERA,SALTA
LA CALDERA,"-24,604948623","-65,38233773",LA CALDERA,LA CALDERA,SALTA
EL GALLINATO,"-24,686607223","-65,286726845",LA CALDERA,LA CALDERA,SALTA
CAMPO ALEGRE,"-24,57701543","-65,368728969",LA CALDERA,LA CALDERA,SALTA
LA FALDA DE SAN ANTONIO,"-28,419848734","-65,698837796",FRAY MAMERTO ESQUIU,FRAY MAMERTO ESQUIU,CATAMARCA
EL HUECO,"-28,412788451","-65,717536986",FRAY MAMERTO ESQUIU,FRAY MAMERTO ESQUIU,CATAMARCA
LA TERCENA,"-28,373447348","-65,708129252",FRAY MAMERTO ESQUIU,FRAY MAMERTO ESQUIU,CATAMARCA
LA CARRERA,"-28,349557681","-65,709119588",FRAY MAMERTO ESQUIU,FRAY MAMERTO ESQUIU,CATAMARCA
POMANCILLO,"-28,301939011","-65,72743988",FRAY MAMERTO ESQUIU,FRAY MAMERTO ESQUIU,CATAMARCA
VILLA LAS PIRQUITAS,"-28,275466521","-65,733431478",FRAY MAMERTO ESQUIU,FRAY MAMERTO ESQUIU,CATAMARCA
COLLAGASTA,"-28,36167764","-65,728269016",FRAY MAMERTO ESQUIU,FRAY MAMERTO ESQUIU,CATAMARCA
SAN JOSE,"-28,388732146","-65,706270125",FRAY MAMERTO ESQUIU,FRAY MAMERTO ESQUIU,CATAMARCA
POMANCILLO OESTE,"-28,317843246","-65,742344719",FRAY MAMERTO ESQUIU,FRAY MAMERTO ESQUIU,CATAMARCA
POMANCILLO ESTE,"-28,308717374","-65,722209844",FRAY MAMERTO ESQUIU,FRAY MAMERTO ESQUIU,CATAMARCA
SAN ANTONIO,"-28,423776679","-65,706213432",FRAY MAMERTO ESQUIU,FRAY MAMERTO ESQUIU,CATAMARCA
CRUCE MUÑOZ,"-37,1820692","-60,6463365",OLAVARRIA,OLAVARRIA,BUENOS AIRES
VILLA ALFREDO FORTABAT,"-36,980271464","-60,279082844",OLAVARRIA,OLAVARRIA,BUENOS AIRES
CUARTEL II - AEROPUERTO,"-36,9138115","-60,2275544",OLAVARRIA,OLAVARRIA,BUENOS AIRES
ESPIGAS,"-36,41227324","-60,673069465",OLAVARRIA,OLAVARRIA,BUENOS AIRES
RECALDE,"-36,651501617","-61,084504027",OLAVARRIA,OLAVARRIA,BUENOS AIRES
CAMPO ELSSIRY,"-37,28472315","-60,342755627",OLAVARRIA,OLAVARRIA,BUENOS AIRES
EL PORVENIR,"-36,5143954","-60,5474023",OLAVARRIA,OLAVARRIA,BUENOS AIRES
SIERRAS BAYAS,"-36,922523815","-60,215792542",OLAVARRIA,OLAVARRIA,BUENOS AIRES
OLAVARRIA,"-36,892093579","-60,318004656",OLAVARRIA,OLAVARRIA,BUENOS AIRES
CHACRAS DE PIBUEL,"-36,908140792","-60,365176129",OLAVARRIA,OLAVARRIA,BUENOS AIRES
VIRGEN DE LA LOMA,"-36,8185482","-60,385061",OLAVARRIA,OLAVARRIA,BUENOS AIRES
SAN PEDRO,"-36,7927946","-60,6360127",OLAVARRIA,OLAVARRIA,BUENOS AIRES
CALERA AVELLANEDA,"-36,98256235","-60,24344894",OLAVARRIA,OLAVARRIA,BUENOS AIRES
EL MIRADOR,"-36,812599182","-60,350936891",OLAVARRIA,OLAVARRIA,BUENOS AIRES
SAN QUILCO,"-37,0438314","-61,1407248",OLAVARRIA,OLAVARRIA,BUENOS AIRES
COLONIA SAN MIGUEL,"-36,949565979","-60,110895408",OLAVARRIA,OLAVARRIA,BUENOS AIRES
SIERRA CHICA,"-36,843238222","-60,223427138",OLAVARRIA,OLAVARRIA,BUENOS AIRES
LAS PIEDRITAS,"-36,7335474","-60,5955954",OLAVARRIA,OLAVARRIA,BUENOS AIRES
VILLA LA SERRANIA,"-36,990363212","-60,310808118",OLAVARRIA,OLAVARRIA,BUENOS AIRES
ITURREGUI,"-36,8293322","-61,1255567",OLAVARRIA,OLAVARRIA,BUENOS AIRES
VILLA MONICA,"-36,8993962","-60,1455471",OLAVARRIA,OLAVARRIA,BUENOS AIRES
BLANCAGRANDE,"-36,532888708","-60,882454913",OLAVARRIA,OLAVARRIA,BUENOS AIRES
CERRO SOTUYO,"-36,961201976","-60,100827933",OLAVARRIA,OLAVARRIA,BUENOS AIRES
COLONIA HINOJO,"-36,88006945","-60,178055297",OLAVARRIA,OLAVARRIA,BUENOS AIRES
MAPIS,"-36,7705364","-61,2818613",OLAVARRIA,OLAVARRIA,BUENOS AIRES
CAMPO BELGRANO,"-36,7250646","-60,276205",OLAVARRIA,OLAVARRIA,BUENOS AIRES
VILLA ARRIETA,"-36,943660537","-60,157827183",OLAVARRIA,OLAVARRIA,BUENOS AIRES
BLANCA CHICA,"-36,8410918","-60,4478581",OLAVARRIA,OLAVARRIA,BUENOS AIRES
SAN GREGORIO,"-36,7044536","-60,4280269",OLAVARRIA,OLAVARRIA,BUENOS AIRES
ROCHA,"-37,145768713","-60,977484401",OLAVARRIA,OLAVARRIA,BUENOS AIRES
HINOJO,"-36,875899595","-60,147319691",OLAVARRIA,OLAVARRIA,BUENOS AIRES
COLONIA NIEVAS,"-36,864137026","-60,08164247",OLAVARRIA,OLAVARRIA,BUENOS AIRES
LA PARDA,"-36,6551192","-60,7438976",OLAVARRIA,OLAVARRIA,BUENOS AIRES
SAN JACINTO,"-36,9661162","-60,2584252",OLAVARRIA,OLAVARRIA,BUENOS AIRES
LA PROVIDENCIA,"-37,0009645","-60,1886992",OLAVARRIA,OLAVARRIA,BUENOS AIRES
SANTA LUISA,"-37,128965369","-60,40993039",OLAVARRIA,OLAVARRIA,BUENOS AIRES
POURTALE,"-36,972646979","-60,436308622",OLAVARRIA,OLAVARRIA,BUENOS AIRES
LA MODERNA,"-36,977116","-60,9859857",OLAVARRIA,OLAVARRIA,BUENOS AIRES
SAN ANTONIO,"-36,6721853","-60,5713249",OLAVARRIA,OLAVARRIA,BUENOS AIRES
LA CARMELITA,"-36,481060756","-60,814847883",OLAVARRIA,OLAVARRIA,BUENOS AIRES
LOS CHILENOS,"-36,9332836","-60,721619",OLAVARRIA,OLAVARRIA,BUENOS AIRES
CAMPO STRIEBECK,"-36,796281877","-60,311721086",OLAVARRIA,OLAVARRIA,BUENOS AIRES
COLONIA ITURRASPE,"-31,4788195","-61,62158",COLONIA ITURRASPE,CASTELLANOS,SANTA FE
COLONIA LA POSTA,"-33,050945267","-61,487723342",AREQUITO,CASEROS,SANTA FE
AREQUITO,"-33,148300838","-61,471334935",AREQUITO,CASEROS,SANTA FE
SAN JOSE DE AGUILAR,"-22,34120267","-65,17109986",SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
PUCALLPA,"-22,27221734","-64,96329924",SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
LIZOITE,"-22,26085","-65,16353",SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
LA SOLEDAD,"-22,21907088","-64,89133406",SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
HORNILLOS,"-22,33043511","-65,1269968",SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
EL PUESTO,"-22,20926263","-64,9669281",SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
LA FALDA,"-22,2361511","-64,93101785",SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
RODEO PAMPA,"-22,245227814","-65,078018188",SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
PUCARA,"-22,18128","-64,95977",SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
LA HUERTA,"-22,23831","-65,01659",SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
CAMPO LA PAZ,"-22,36944976","-65,14637476",SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
PUEBLO VIEJO,"-22,395233154","-64,82989502",SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
SAN FRANCISCO,"-22,408863068","-65,259094238",SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
SAN JOSE,"-22,334178925","-65,175895691",SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
ABRA DE SANTA CRUZ,"-22,10361871","-65,02203878",SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
SANTA CRUZ,"-22,149839401","-65,02141571",SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
CHORRO,"-22,287244797","-64,920921326",SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
SANTA VICTORIA,"-22,229461501","-64,950325547",SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
ABRA DE SAN ANTONIO,"-22,17502","-64,93502",SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
ANTIGAL,"-22,16734","-64,9073",SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
LAGUNA,"-22,37389946","-65,178741455",SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
SAN FELIPE,"-22,30340389","-64,98355327",SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
SANTA CRUZ DE AGUILAR,"-22,15450164","-65,0182986",SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
MECOYITA,"-22,12536665","-64,90085004",SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
ACOYTE,"-22,262570806","-64,999342591",SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
RIO PIEDRAS,"-25,321181876","-64,917329425",RIO PIEDRAS,METAN,SALTA
LUMBRERAS,"-25,217257579","-64,930686146",RIO PIEDRAS,METAN,SALTA
ARENALES,"-25,145547867","-65,154006958",RIO PIEDRAS,METAN,SALTA
SAN RAMIREZ,"-30,46341428","-59,34085823",SAN RAMIREZ,LA PAZ,ENTRE RÍOS
LIHUEL CALEL,"-38,01481736","-65,584818951",PUELCHES,CURACO,LA PAMPA
PUELCHES,"-38,143772231","-65,910279081",PUELCHES,CURACO,LA PAMPA
GENERAL LAGOS,"-33,112158888","-60,566573784",GENERAL LAGOS,ROSARIO,SANTA FE
PAMPA LA PORTEÑA,"-26,891746562","-61,119342344",CORZUELA,GENERAL BELGRANO,CHACO
CORZUELA NORTE,"-26,89782559","-61,02852309",CORZUELA,GENERAL BELGRANO,CHACO
SAN ANTONIO,"-26,845151262","-61,156831641",CORZUELA,GENERAL BELGRANO,CHACO
COLONIA JUAN LAVALLE,"-27,10585501","-60,857506708",CORZUELA,GENERAL BELGRANO,CHACO
PAMPA ZAPPA,"-26,95941313","-61,07284844",CORZUELA,GENERAL BELGRANO,CHACO
COLONIA SAN LORENZO,"-26,968568802","-60,873462677",CORZUELA,GENERAL BELGRANO,CHACO
CAMPO CANTON,"-26,965077007","-61,030713589",CORZUELA,GENERAL BELGRANO,CHACO
PAMPA ALSINA,"-26,993965072","-60,857751949",CORZUELA,GENERAL BELGRANO,CHACO
CORZUELA,"-26,955676009","-60,970757406",CORZUELA,GENERAL BELGRANO,CHACO
LA CIENAGA,"-32,417919159","-65,48777771",LAS AGUADAS,LIBERTADOR GENERAL SAN MARTÍN,SAN LUIS
LAS AGUADAS,"-32,376358046","-65,501204138",LAS AGUADAS,LIBERTADOR GENERAL SAN MARTÍN,SAN LUIS
TALA VERDE,"-32,40896557","-65,56209159",LAS AGUADAS,LIBERTADOR GENERAL SAN MARTÍN,SAN LUIS
EL PUESTO,"-32,34642911","-65,46720015",LAS AGUADAS,LIBERTADOR GENERAL SAN MARTÍN,SAN LUIS
LOS MOLLES,"-32,358093262","-65,529525757",LAS AGUADAS,LIBERTADOR GENERAL SAN MARTÍN,SAN LUIS
CAÑADON SECO,"-46,55884577","-67,616856369",CAÑADON SECO,DESEADO,SANTA CRUZ
LA ESCALERA,"-29,140890122","-67,157470703",SANAGASTA,SANAGASTA,LA RIOJA
LA TORRECITA,"-29,177150726","-67,043296814",SANAGASTA,SANAGASTA,LA RIOJA
HUACO,"-29,160524552","-67,091955631",SANAGASTA,SANAGASTA,LA RIOJA
VILLA SANAGASTA,"-29,306449146","-67,041409736",SANAGASTA,SANAGASTA,LA RIOJA
ADROGUE,"-34,801558074","-58,391467719",ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
JOSE MARMOL,"-34,785144251","-58,36814756",ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
SAN JOSE,"-34,767377192","-58,34327714",ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
RAFAEL CALZADA,"-34,791136751","-58,350598184",ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
CLAYPOLE,"-34,804475908","-58,344782553",ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
MINISTRO RIVADAVIA,"-34,855689501","-58,361646543",ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
BURZACO,"-34,831541589","-58,398687487",ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
MALVINAS ARGENTINAS,"-34,818958317","-58,423561061",ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
GLEW,"-34,886011418","-58,381830184",ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
LONGCHAMPS,"-34,860945026","-58,389147692",ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
DON ORIONE,"-34,821075164","-58,344745799",ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
SAN FRANCISCO SOLANO,"-34,786674358","-58,321936352",ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
BELL VILLE,"-32,628560075","-62,689114908",BELL VILLE,UNION,CÓRDOBA
COLONIA COMPIANI,"-32,567857","-62,6776939",BELL VILLE,UNION,CÓRDOBA
CALETA OLIVIA,"-46,44594923","-67,525156497",CALETA OLIVIA,DESEADO,SANTA CRUZ
NUEVA VIZCAYA,"-30,968514977","-58,612747928",NUEVA VIZCAYA,FEDERAL,ENTRE RÍOS
TORTUGUITAS,"-34,491848399","-58,786378032",JOSE C PAZ,JOSE C PAZ,BUENOS AIRES
DEL VISO,"-34,480495795","-58,804258898",JOSE C PAZ,JOSE C PAZ,BUENOS AIRES
JOSE C. PAZ,"-34,521161197","-58,770881113",JOSE C PAZ,JOSE C PAZ,BUENOS AIRES
GARZA,"-28,164064062","-63,469345611",GARZA,SARMIENTO,SANTIAGO DEL ESTERO
LA VIGIA,"-34,3064955","-60,6245184",ROJAS,ROJAS,BUENOS AIRES
LA VUELTA,"-34,3166668","-60,7466182",ROJAS,ROJAS,BUENOS AIRES
ROBERTO CANO,"-34,087651518","-60,667256401",ROJAS,ROJAS,BUENOS AIRES
SANTA FELISA,"-34,2870114","-60,6908135",ROJAS,ROJAS,BUENOS AIRES
LA SOLEDAD,"-34,307846","-61,0004538",ROJAS,ROJAS,BUENOS AIRES
LA CALDERA,"-34,181495666","-60,797481537",ROJAS,ROJAS,BUENOS AIRES
LOS INDIOS,"-34,373569611","-60,652371027",ROJAS,ROJAS,BUENOS AIRES
LA CONCEPCION,"-34,20364677","-60,952852022",ROJAS,ROJAS,BUENOS AIRES
LA ROJERA,"-34,1578906","-60,7016991",ROJAS,ROJAS,BUENOS AIRES
LA BEBA,"-34,154438787","-61,012871117",ROJAS,ROJAS,BUENOS AIRES
BARRIO LAS MARGARITAS,"-34,193237415","-60,6820265",ROJAS,ROJAS,BUENOS AIRES
LAS CARABELAS,"-34,038100265","-60,868526417",ROJAS,ROJAS,BUENOS AIRES
LAS POLVAREDAS,"-34,1614703","-60,6092371",ROJAS,ROJAS,BUENOS AIRES
LA VUELTA CHICA,"-34,352424622","-60,745353699",ROJAS,ROJAS,BUENOS AIRES
HUNTER,"-34,2433108","-60,532499",ROJAS,ROJAS,BUENOS AIRES
VILLA MANUEL POMAR,"-33,91595088","-60,937938024",ROJAS,ROJAS,BUENOS AIRES
LA TIGRA,"-34,006214142","-60,98638916",ROJAS,ROJAS,BUENOS AIRES
ROJAS,"-34,187229226","-60,717941192",ROJAS,ROJAS,BUENOS AIRES
ESTACION SOL DE MAYO,"-34,268944851","-60,871777342",ROJAS,ROJAS,BUENOS AIRES
RAFAEL OBLIGADO,"-34,358813249","-60,784569326",ROJAS,ROJAS,BUENOS AIRES
VILLA PARQUE CECIR,"-34,170717599","-60,743833682",ROJAS,ROJAS,BUENOS AIRES
LA VERDE,"-34,0764093","-60,9715417",ROJAS,ROJAS,BUENOS AIRES
SAN BASILIO,"-34,4720436","-60,6832105",ROJAS,ROJAS,BUENOS AIRES
VILLA GENERAL MITRE,"-29,139635716","-62,562396054",PINTO,AGUIRRE,SANTIAGO DEL ESTERO
SAN ROQUE,"-32,2162493","-64,6720222",AMBOY,CALAMUCHITA,CÓRDOBA
CERRO PELADO,"-32,2183924","-64,6415206",AMBOY,CALAMUCHITA,CÓRDOBA
AMBOY,"-32,175916522","-64,576548317",AMBOY,CALAMUCHITA,CÓRDOBA
FLORIDA NEGRA,"-48,420131683","-67,354904175",AREA SIN GOBIERNO,MAGALLANES,SANTA CRUZ
BELLA VISTA,"-49,064224243","-68,324668884",AREA SIN GOBIERNO,MAGALLANES,SANTA CRUZ
EL SALADO,"-48,731674194","-67,701408386",AREA SIN GOBIERNO,MAGALLANES,SANTA CRUZ
SUARDI,"-30,536145346","-61,961680584",SUARDI,SAN CRISTOBAL,SANTA FE
COLONIA SAN JOSE,"-23,402354468","-65,391045155",HUACALERA,TILCARA,JUJUY
ALONSO,"-23,44775","-65,24884",HUACALERA,TILCARA,JUJUY
VOLCAN DE YACORAITE,"-23,326789","-65,47565899",HUACALERA,TILCARA,JUJUY
YACORAITE,"-23,402354468","-65,391045155",HUACALERA,TILCARA,JUJUY
HUACALERA,"-23,43416426","-65,351334137",HUACALERA,TILCARA,JUJUY
LA TOMA,"-33,05443762","-65,62269821",LA TOMA,CORONEL PRINGLES,SAN LUIS
MAQUINCHAO,"-41,247516564","-68,700341069",MAQUINCHAO,25 DE MAYO,RÍO NEGRO
CALLE ANGOSTA,"-35,834410002","-58,477360025",GENERAL BELGRANO,GENERAL BELGRANO,BUENOS AIRES
NEWTON,"-35,9302358","-58,7735013",GENERAL BELGRANO,GENERAL BELGRANO,BUENOS AIRES
SAN MARTIN,"-35,8099286","-58,7384442",GENERAL BELGRANO,GENERAL BELGRANO,BUENOS AIRES
CHAS,"-35,8738986","-58,5835485",GENERAL BELGRANO,GENERAL BELGRANO,BUENOS AIRES
GENERAL BELGRANO,"-35,769457736","-58,49446151",GENERAL BELGRANO,GENERAL BELGRANO,BUENOS AIRES
